Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-02-21 14:30:00+00:00,246.19129943847656,246.57000732421875,245.6800994873047,245.96499633789062,3063972
2025-02-21 14:31:00+00:00,246.1999969482422,246.61000061035156,245.8800048828125,246.19000244140625,128373
2025-02-21 14:32:00+00:00,246.52999877929688,246.6385040283203,246.1199951171875,246.2100067138672,148381
2025-02-21 14:33:00+00:00,246.32000732421875,246.6199951171875,246.2449951171875,246.50999450683594,995632
2025-02-21 14:34:00+00:00,246.21119689941406,246.5,246.21119689941406,246.21119689941406,84336
2025-02-21 14:35:00+00:00,246.64450073242188,246.94000244140625,246.25999450683594,246.26499938964844,161815
2025-02-21 14:36:00+00:00,245.9949951171875,246.69700622558594,245.91000366210938,246.64999389648438,150575
2025-02-21 14:37:00+00:00,245.94520568847656,246.19000244140625,245.8800048828125,246.0,75914
2025-02-21 14:38:00+00:00,245.9199981689453,246.1300048828125,245.72999572753906,245.9550018310547,97360
2025-02-21 14:39:00+00:00,245.91619873046875,246.22000122070312,245.8300018310547,245.97000122070312,117826
2025-02-21 14:40:00+00:00,245.82000732421875,245.9499969482422,245.77999877929688,245.9149932861328,78804
2025-02-21 14:41:00+00:00,245.72500610351562,245.97000122070312,245.64999389648438,245.8300018310547,90496
2025-02-21 14:42:00+00:00,245.63999938964844,245.8699951171875,245.58999633789062,245.72999572753906,97000
2025-02-21 14:43:00+00:00,245.75999450683594,245.8800048828125,245.6199951171875,245.6300048828125,63624
2025-02-21 14:44:00+00:00,245.7100067138672,245.77999877929688,245.6300048828125,245.77000427246094,56003
2025-02-21 14:45:00+00:00,245.75,245.85000610351562,245.69000244140625,245.72000122070312,53335
2025-02-21 14:46:00+00:00,245.89999389648438,246.0399932861328,245.72019958496094,245.75,80958
2025-02-21 14:47:00+00:00,245.875,245.9600067138672,245.72999572753906,245.93499755859375,63764
2025-02-21 14:48:00+00:00,245.7899932861328,245.88999938964844,245.7100067138672,245.87440490722656,41768
2025-02-21 14:49:00+00:00,245.5449981689453,245.86349487304688,245.47999572753906,245.7899932861328,94422
2025-02-21 14:50:00+00:00,245.6199951171875,245.6815948486328,245.47999572753906,245.5596923828125,82707
2025-02-21 14:51:00+00:00,245.67999267578125,245.83999633789062,245.60000610351562,245.6300048828125,66195
2025-02-21 14:52:00+00:00,245.64999389648438,245.72999572753906,245.58999633789062,245.6750030517578,52140
2025-02-21 14:53:00+00:00,245.77999877929688,245.8000030517578,245.58999633789062,245.64999389648438,65989
2025-02-21 14:54:00+00:00,245.69000244140625,245.77999877929688,245.5500030517578,245.77999877929688,71746
2025-02-21 14:55:00+00:00,245.6300048828125,245.6750030517578,245.5399932861328,245.66000366210938,38111
2025-02-21 14:56:00+00:00,245.6649932861328,245.94500732421875,245.625,245.625,68965
2025-02-21 14:57:00+00:00,245.75999450683594,245.8000030517578,245.60479736328125,245.64999389648438,62114
2025-02-21 14:58:00+00:00,245.86000061035156,245.86000061035156,245.7100067138672,245.75,30317
2025-02-21 14:59:00+00:00,245.69000244140625,245.82000732421875,245.63999938964844,245.69000244140625,70145
2025-02-21 15:00:00+00:00,245.91050720214844,246.0,245.3300018310547,245.66000366210938,115231
2025-02-21 15:01:00+00:00,245.8300018310547,245.94070434570312,245.58999633789062,245.94070434570312,43333
2025-02-21 15:02:00+00:00,245.77000427246094,245.9600067138672,245.58999633789062,245.77000427246094,96504
2025-02-21 15:03:00+00:00,245.88999938964844,245.92999267578125,245.7550048828125,245.75999450683594,41626
